Institution,Course Number,Short Title1,Curricular Area2,Course Launch Date,Year (1-4),Offers Honor Certificates,Participants,Explorers,Certified,% Explored,% Certified,% Certified of Explored,Total Hours (Thousands),Median Hours of Certified,Median % Residential Hours,% Female,% Bachelor's+,Median Age3,% Played Video,% Posted in Forum,% Grade > 0
MITx,6.00.1x,CS-a9,CS,8/26/2015,4,1,54361,7661,3411,14.09,6.27,44.49,567.96,74.39,88.56,18.55,66.28,26,70.35,6.07,37.54
MITx,6.00.2x,CS-b6,CS,10/20/2015,4,1,12426,2338,1516,18.82,12.2,64.76,167.8,69.53,82.78,14.61,74.43,28,70.46,7.48,31.47
MITx,6.002.1x,Circuits-a6,STEM,9/29/2015,4,1,38119,5451,591,14.3,1.55,10.62,174.06,48.13,85.95,12.64,52.02,25,69.08,2.01,1.55
MITx,6.002.2x,Circuits-b6,STEM,9/29/2015,4,1,6146,1266,171,20.6,2.78,13.35,28.65,52.62,93.96,10.45,58.46,24,48.97,1.46,2.78
MITx,6.002.3x,Circuits-c6,STEM,9/29/2015,4,1,5566,805,95,14.46,1.71,11.18,17.95,53.73,95.95,11.19,59.47,24,44.39,1.04,1.71
MITx,6.002x,Circuits-4,STEM,8/25/2014,3,1,19263,1300,482,6.75,2.5,36.38,129.34,95.58,56.89,11.93,56.39,25,64.03,4.96,15.98
MITx,6.002x,Circuits-1,STEM,9/5/2012,1,1,36105,5431,3003,15.04,8.32,54.98,418.94,64.45,38.36,11.72,60.68,26,83.2,8.17,28.97
MITx,6.002x,Circuits-2,STEM,3/3/2013,1,1,16752,1769,1103,10.56,6.58,61.16,148.54,59.39,35.35,11.12,59.51,25,83.55,5.68,22.47
MITx,6.002x,Circuits-5,STEM,1/20/2015,3,1,22828,886,202,3.88,0.88,22.35,99.42,114.37,68.08,11.91,54.57,25,63.11,2.43,7.2
MITx,6.004.1x,DigCircuits-a1,CS,3/3/2015,3,1,15530,2363,805,15.22,5.18,33.81,126.65,72.18,128.9,10.5,59.24,26,64.37,5.71,14.92
MITx,6.004.1x,DigCircuits-a2,CS,9/1/2015,4,1,16094,1910,377,11.87,2.34,19.74,97.06,72.89,43.39,12.63,55.59,24,62.85,0,7.08
MITx,6.004.2x,DigCircuits-b1,CS,11/17/2015,4,1,8495,1161,406,13.67,4.78,34.97,56.13,80.09,143.03,11.42,61.03,25,49.38,4.13,7.68
MITx,6.041x,StatProb-1,STEM,2/4/2014,2,1,26364,2927,592,11.1,2.25,20.23,224.14,120.16,71.52,16.46,73.15,28,65.57,3.98,17.78
MITx,6.041x,StatProb-2,STEM,2/3/2015,3,1,22537,2288,410,10.15,1.82,17.92,217.1,167.72,99.83,16.63,73.49,27,65.99,2.6,14.47
MITx,6.341x,SignalProc,STEM,2/3/2015,3,1,7396,532,144,7.19,1.95,27.07,48.98,151.31,90.06,8.6,72.54,27,64.06,2.99,16.87
MITx,6.832x,Robotics-1,STEM,10/1/2014,3,1,11074,1599,136,14.44,1.23,8.51,41.65,61.21,36.44,8.03,61.38,25,67.84,3.75,8.39
MITx,6.832x,Robotics-2,STEM,10/1/2015,4,1,10191,1066,148,10.46,1.45,13.79,45.06,74.06,44.08,8.96,61.19,24,59.74,0,7.12
MITx,6.SFMx,SFMath,STEM,4/8/2014,2,1,27882,3464,567,12.42,2.03,16.37,56.9,28.32,33.71,15.83,66.85,29,66.49,5.74,20.52
MITx,6.002x,Circuits-3,STEM,10/16/2013,2,1,21387,1269,379,5.93,1.77,29.47,117.84,81.11,48.28,10.71,57.18,25,63.3,3.18,10.04
MITx,18.01.1x,Calculus-a,STEM,6/2/2015,3,1,18266,3734,658,20.44,3.6,17.62,218.27,117.82,210.39,20.34,55.67,26,63.22,5.68,20.32
MITx,18.01.2x,Calculus-b,STEM,12/1/2015,4,1,7260,1216,336,16.75,4.63,27.63,114.85,170.68,304.78,18.54,51.52,25,59.39,5.99,17.41
MITx,2.01x,Structures-1,STEM,4/15/2013,1,1,8736,1705,817,19.52,9.35,47.86,84.75,52.13,31.03,13.78,64.45,27,81.82,11.42,29.98
MITx,2.01x,Structures-2,STEM,6/3/2014,2,1,6140,1061,333,17.28,5.42,31.29,62.01,78.56,46.76,14.23,64.26,26,70.07,9.54,18.66
MITx,2.03x,Dynamics,STEM,10/28/2013,2,1,18424,2079,398,11.28,2.16,19.1,60.99,43.14,25.68,11.4,58.89,25,61.3,3.16,19.71
MITx,15.071x,SloanAnlytcs-1,GHSS,3/4/2014,2,1,31391,4782,1790,15.23,5.7,37.43,313.27,81.94,48.78,19,87.62,31,73.93,6.68,21.51
MITx,15.071x,SloanAnlytcs-2,GHSS,3/3/2015,3,1,26776,5638,3101,21.06,11.58,55,648.95,119.51,71.14,19.29,86.68,31,74.91,10.66,50.42
MITx,15.071x,SloanAnlytcs-3,GHSS,6/2/2015,3,1,31551,5015,1950,15.89,6.18,38.88,547.35,120.1,71.49,18.75,84.94,28,69.88,5.98,30.91
MITx,15.390.1x,SloanEntr-a2,GHSS,1/9/2015,3,1,30780,7955,2689,25.84,8.74,32.13,110.41,12.23,19.41,21.78,72.88,29,75.53,15.29,13.53
MITx,15.390.1x,SloanEntr-a3,GHSS,3/31/2015,3,1,25206,4402,715,17.46,2.84,12.7,64.07,9.09,14.43,25.91,69.67,28,67.34,7.55,2.84
MITx,15.390.2x,SloanEntr-b2,GHSS,1/9/2015,3,1,13173,3443,574,26.14,4.36,15.16,33.06,11.65,18.5,22.35,76.93,30,61.35,4.33,5.79
MITx,15.390.2x,SloanEntr-b3,GHSS,5/1/2015,3,1,6137,1296,184,21.12,3,9.88,11.95,8.72,13.85,25.78,71.62,28,55.99,1.4,2.97
MITx,15.390x,SloanEntr-1,GHSS,3/18/2014,2,1,36330,9197,2043,25.32,5.62,20.34,108.97,10.46,8.3,24.91,74.9,30,73.84,15.46,10.48
MITx,15.662x,AmDream-1,GHSS,3/23/2015,3,1,5084,1039,277,20.44,5.45,26.66,20.5,21.18,25.21,36.87,73.47,29,69.81,10.64,25.83
MITx,15.671x,TransBus-2,GHSS,9/10/2015,4,1,23087,4711,1606,20.41,6.96,33.47,166.11,31.24,37.19,48.79,86.69,39,62.56,0,19.73
MITx,15.S23x,TransBus-1,GHSS,1/7/2015,3,1,21420,4958,2416,23.15,11.28,46.73,82.24,15.54,18.5,45.74,84.87,38,57.25,0,20.5
MITx,uINOV8x,InnovEntr,GHSS,6/1/2015,3,1,41361,4413,1232,10.67,2.98,26.38,69.95,9.18,,26.92,68.73,27,62.1,2.41,2.98
MITx,8.01x,Mechanics,STEM,9/9/2013,2,1,35903,4051,1822,11.28,5.07,44.98,452.55,111.34,66.27,16.74,51.75,25,78.02,10.27,25.93
MITx,8.02x,E&M,STEM,2/18/2013,1,1,39178,3543,1722,9.04,4.4,48.49,380.35,107.88,64.21,14.58,56.97,26,85.3,5.86,16.04
MITx,8.05x,QPhysics-1,STEM,2/10/2015,3,1,10932,1193,393,10.91,3.59,32.94,187.44,251.82,149.9,12.81,64.49,26,71.33,8.03,16.57
MITx,8.EFTx,FieldTheory,STEM,9/16/2014,3,1,7093,285,12,4.02,0.17,4.21,16.85,107.09,63.74,11.17,72.54,27,57.48,1.97,3
MITx,8.MReV,MechRev-1,STEM,6/1/2013,1,1,15350,1388,1033,9.04,6.73,71.9,145.95,68.48,40.76,15.47,54.43,26,10.96,8.48,24.07
MITx,8.MReV,MechRev-2,STEM,5/29/2014,2,1,12939,754,502,5.83,3.88,66.58,86.76,80.06,47.65,15.8,53.49,25,13.25,6.01,17.97
MITx,8.MechCx,APMechRev-1,STEM,1/8/2015,3,1,6980,571,201,8.18,2.88,35.2,76.36,172.7,102.8,15.44,48.64,24,57.66,6.63,17.61
MITx,8.MechCx,APMechRev-2,STEM,5/28/2015,3,1,8088,473,168,5.85,2.08,35.52,67.6,182.95,108.9,20.64,48.24,24,59.99,5.82,13.67
MITx,8.421.1x,AtomicPhys-a,STEM,9/21/2015,4,1,6129,1478,199,24.11,3.25,13.46,18.64,24.68,73.46,13.36,68.83,26,69.15,3.9,10.2
MITx,8.421.2x,AtomicPhys-b,STEM,10/19/2015,4,1,1178,484,94,41.09,7.98,19.42,9.8,50.19,149.37,13.46,71.11,27,59.76,6.2,22.16
MITx,8.421.3x,AtomicPhys-c,STEM,11/16/2015,4,1,790,290,63,36.71,7.97,21.72,6.44,56.85,169.19,12.8,71.74,26,55.06,6.58,17.09
MITx,8.421.4x,AtomicPhys-d,STEM,12/14/2015,4,1,658,221,48,33.59,7.29,21.72,3.88,42.5,126.5,14.99,71.48,26,47.57,5.93,18.54
MITx,16.00x,AAIntro,STEM,3/3/2015,3,1,13525,3638,885,26.9,6.54,24.33,121.16,47.06,37.35,15.5,52.15,24,70.59,10.03,24.39
MITx,16.101x,Aerodyn,STEM,9/28/2015,4,1,18732,736,66,3.93,0.35,8.83,51.1,138.06,82.18,10.73,53.08,23,0,2.68,4.6
MITx,16.110x,AAFlight-1,STEM,3/5/2014,2,1,11883,692,101,5.82,0.85,14.6,34.28,112.92,67.22,8.52,60.98,25,47.62,2.95,6.19
MITx,6.00.1x,CS-a4,CS,2/19/2014,2,1,21063,3965,1920,18.82,9.12,48.4,188.51,48.42,57.64,16.49,63.46,27,74.21,9.28,43.66
MITx,6.00.1x,CS-a5,CS,6/11/2014,2,1,22148,4460,2307,20.14,10.42,51.7,232.93,49.69,59.16,18.31,61.96,27,76.74,10.81,48.86
MITx,6.00.1x,CS-a6,CS,8/27/2014,3,1,21017,4143,2127,19.71,10.12,51.34,206.46,48.26,57.45,16.77,65.39,27,76.87,9.7,50.09
MITx,6.00.1x,CS-a3,CS,10/16/2013,2,1,57147,8248,4975,14.43,8.71,60.23,523.56,53.05,63.16,17.05,62.73,28,76.86,9.47,43.16
MITx,6.00.1x,CS-a8,CS,6/10/2015,3,1,53964,9583,5243,17.76,9.72,54.68,895.01,86.65,103.15,21.47,64.59,25,77.31,7.6,49
MITx,6.00.2x,CS-b4,CS,10/21/2014,3,1,11690,2231,1259,19.08,10.77,56.34,81,38.46,45.79,12.67,74.6,29,71.12,7.7,35.32
MITx,6.00.2x,CS-b3,CS,3/5/2014,2,1,13148,2512,1502,19.11,11.42,59.63,97.28,38.44,45.76,12.1,74.21,29,69.27,7.33,32.57
MITx,6.00.2x,CS-b5,CS,3/4/2015,3,1,14835,2599,1656,17.52,11.16,63.6,159.01,63.36,75.43,14.67,75.51,28,70.27,6.42,31.27
MITx,6.00x,CS-1,CS,9/26/2012,1,1,62709,8949,5783,14.27,9.22,64.05,884.04,78.53,46.75,16.5,63.04,28,89.14,14.38,39.5
MITx,6.00x,CS-2,CS,2/4/2013,1,1,65380,6473,3313,9.9,5.07,51.17,639.4,84.14,50.08,16.01,60.9,27,82.43,10.3,28.9
MITx,24.00x,Philosophy-2,HHRDE,9/30/2014,3,1,20109,3949,488,19.64,2.43,12.36,65.35,33.14,19.73,33.46,62.77,28,70.61,14.78,27.84
MITx,24.00x,Philosophy-1,HHRDE,10/1/2013,2,1,34371,5554,1893,16.16,5.51,34.08,154.23,27.25,16.22,35.75,65,31,73.84,22.16,45.27
MITx,24.09x,MindMach,HHRDE,11/17/2015,4,1,10837,997,383,9.2,3.53,37.81,94.63,73.07,43.49,26.66,67.25,29,61.87,7.93,8.41
MITx,24.118x,Paradox,HHRDE,6/9/2015,3,1,12426,1990,699,16.01,5.63,35.13,83.98,43.53,25.91,25.15,61.12,27,73.7,7.39,19.5
MITx,4.605x,Architecture-2,HHRDE,9/23/2014,3,1,7052,1093,543,15.5,7.7,49.68,54.46,51.76,30.81,51.44,74.88,29,61.06,7.54,30.01
MITx,4.605x,Architecture-3,HHRDE,9/22/2015,4,1,5724,908,498,15.86,8.7,54.85,77.42,83.16,49.5,52.76,74.29,29,62.35,10.13,21.24
